market,symbol,tf,score,reasons,entry,stop,tp1,tp2,rr_tp1,rr_tp2,signal,rank_score
stock,META,1h,65,"['Precio > EMA200', 'EMA50 > EMA200', 'MACD cruce alcista', 'Breakout']",672.510009765625,635.4169354248047,678.5108082360886,684.511606706552,0.1617767892552327,0.32355357851046235,BUY,54.12942143140418
stock,PLTR,1h,58,"['Precio > EMA200', 'EMA50 > EMA200', 'MACD acelerando', 'Breakout']",197.7418975830078,176.03679496765136,200.50367826653695,203.26545895006606,0.12724107931999212,0.25448215863998297,BUY,49.90179286345599
stock,TSLA,1h,50,"['Precio > EMA200', 'EMA50 > EMA200', 'Breakout']",496.1700134277344,439.4616633605957,502.68560047043513,509.2011875131359,0.11489643121315936,0.22979286242631872,WATCH,33.09191714497052
stock,NVDA,1h,43,"['Precio > EMA200', 'MACD acelerando', 'Breakout']",183.02499389648438,169.4584475708008,184.87455442953114,186.72411496257791,0.13633245253770027,0.27266490507540053,WATCH,28.909065962030162
stock,COIN,1h,38,"['RSI 45–60 y subiendo', 'MACD acelerando', 'Volumen fuerte']",250.5800018310547,237.90450607299803,254.8940833359219,259.2081648407891,0.3403481478919778,0.6806962957839556,WATCH,26.07227851831358
stock,AAPL,1h,23,"['EMA50 > EMA200', 'MACD acelerando']",272.6650085449219,265.62519149780275,274.6358477861081,276.6066870272944,0.2799560312427093,0.5599120624854267,AVOID,14.02396482499417
stock,AMZN,1h,15,['RSI 45–60 y subiendo'],227.67999267578125,220.0247496032715,229.20747117212338,230.7349496684655,0.1995336375179717,0.3990672750359434,AVOID,9.159626910014378
stock,MSFT,1h,0,[],484.0650939941406,468.5256048583984,487.16605962089125,490.26702524764187,0.1995538977930829,0.3991077955861658,AVOID,0.15964311823446634
stock,AMD,1h,0,[],214.72000122070312,196.54234878540038,217.7786990028617,220.8373967850203,0.16826693067462903,0.33653386134925806,AVOID,0.13461354453970323
