symbol,tf,growth_score,growth_reasons,near_52w_high,rel_volume,breakout
META,1h,62,"['Precio > EMA200', 'EMA50 > EMA200', 'Fuerza relativa', 'Volumen fuerte']",0.857940700415083,2.2870793385674983,False
TSLA,1h,55,"['Precio > EMA200', 'EMA50 > EMA200', 'Muy cerca 52W High']",0.9889378473669475,0.06498044625592336,False
PLTR,1h,42,"['Precio > EMA200', 'EMA50 > EMA200', 'Fuerza relativa']",0.8982603244634404,0.038998436328238975,False
AAPL,1h,33,"['EMA50 > EMA200', 'Cerca 52W High']",0.9468830639857243,0.080408276524996,False
AMZN,1h,12,['Fuerza relativa'],0.8634323069742578,0.06728452070454403,False
MSFT,1h,12,['Fuerza relativa'],0.8557394015177001,0.10980797874776252,False
NVDA,1h,0,[],0.8326739453549696,0.048885354844325386,False
AMD,1h,0,[],0.7870678798136219,0.05372042025628715,False
COIN,1h,0,[],0.6765036969398861,0.041583865722872766,False
