market,symbol,tf,score,reasons,entry,stop,tp1,tp2,rr_tp1,rr_tp2,signal,rank_score
crypto,BTC/USD,1h,38,"['Precio > EMA200', 'EMA50 > EMA200', 'MACD acelerando']",88915.5,87202.50645,89289.54170712187,89663.58341424374,0.21835558407202943,0.43671116814405886,WATCH,25.974684467257624
crypto,BNB/USD,1h,30,"['RSI 45–60 y subiendo', 'Volumen fuerte']",856.79,841.77,860.6142125959514,864.4384251919028,0.25460802902472696,0.5092160580494539,WATCH,21.203686423219782
crypto,SOL/USD,1h,23,"['RSI 45–60 y subiendo', 'MACD acelerando']",126.31,123.04169999999999,127.15934384702993,128.00868769405986,0.25987328183762975,0.5197465636752595,AVOID,14.007898625470103
crypto,SOL/USD,4h,23,"['RSI 45–60 y subiendo', 'MACD acelerando']",126.31,116.42495000000001,128.25951471687912,130.20902943375825,0.1972184983261717,0.3944369966523434,AVOID,13.957774798660937
crypto,BTC/USD,4h,23,"['RSI 45–60 y subiendo', 'MACD acelerando']",88915.5,84228.74,89793.92627029796,90672.35254059592,0.18742719283640774,0.3748543856728155,AVOID,13.949941754269124
crypto,ETH/USD,4h,23,"['RSI 45–60 y subiendo', 'MACD acelerando']",3020.29,2764.87615,3060.2985059663783,3100.3070119327567,0.1566418812698622,0.3132837625397244,AVOID,13.925313505015888
crypto,ETH/USD,1h,15,['Precio > EMA200'],3020.29,2929.5188,3039.640779998382,3058.9915599967644,0.21318193434021135,0.4263638686804227,AVOID,9.17054554747217
crypto,BNB/USD,4h,15,['RSI 45–60 y subiendo'],856.79,813.50205,865.7093902433417,874.6287804866835,0.20604787806633748,0.41209575613267757,AVOID,9.16483830245307
