market,symbol,tf,score,reasons,entry,stop,tp1,tp2,rr_tp1,rr_tp2,signal,rank_score
crypto,BNB/USD,1h,23,"['RSI bajo', 'Volumen fuerte']",855.46,847.0553760494505,861.0630826336998,866.6661652673995,0.6666666666666712,1.3333333333333424,AVOID,14.333333333333336
crypto,BTC/USD,4h,23,"['RSI bajo', 'Volumen fuerte']",87217.7,85622.98787791752,88280.84141472165,89343.98282944331,0.6666666666666697,1.3333333333333395,AVOID,14.333333333333334
crypto,ETH/USD,1h,23,"['RSI bajo', 'Volumen fuerte']",3033.19,2989.1219745763665,3062.5686836157556,3091.9473672315116,0.6666666666666632,1.3333333333333368,AVOID,14.333333333333334
crypto,BTC/USD,1h,23,"['RSI bajo', 'Volumen fuerte']",87217.7,86482.50933099118,87707.82711267254,88197.95422534509,0.6666666666666666,1.3333333333333333,AVOID,14.333333333333332
crypto,SOL/USD,1h,23,"['RSI bajo', 'Volumen fuerte']",128.0,126.16801576649057,129.22132282233963,130.44264564467923,0.6666666666666718,1.3333333333333282,AVOID,14.33333333333333
crypto,BNB/USD,4h,23,"['RSI bajo', 'Volumen fuerte']",855.46,837.1207045215214,867.6861969856525,879.9123939713048,0.6666666666666666,1.333333333333327,AVOID,14.33333333333333
crypto,SOL/USD,4h,15,['Volumen fuerte'],128.0,124.12048595834733,130.5863426944351,133.17268538887024,0.6666666666666642,1.3333333333333357,AVOID,9.533333333333335
crypto,ETH/USD,4h,0,[],3033.19,2944.766301849435,3092.1391321003766,3151.088264200753,0.666666666666665,1.33333333333333,AVOID,0.533333333333332
