market,symbol,tf,score,reasons,entry,stop,tp1,tp2,rr_tp1,rr_tp2,signal,rank_score
crypto,BTC/USD,4h,23,"['RSI 45–60 y subiendo', 'MACD acelerando']",88574.41,84228.74,89496.42909698468,90418.44819396935,0.21216960721469277,0.42433921442938555,AVOID,13.969735685771752
crypto,BNB/USD,4h,23,"['RSI 45–60 y subiendo', 'MACD acelerando']",856.79,813.50205,865.7388809060095,874.6877618120192,0.2067291453166428,0.4134582906332882,AVOID,13.965383316253314
crypto,BNB/USD,1h,23,"['RSI 45–60 y subiendo', 'MACD acelerando']",856.79,842.2973499999999,859.6162075243645,862.4424150487292,0.19500971350060697,0.3900194270012218,AVOID,13.956007770800488
crypto,SOL/USD,1h,15,['MACD cruce alcista'],125.77,124.1959,126.20948930412527,126.64897860825053,0.2792003710852385,0.558400742170468,AVOID,9.223360296868186
crypto,SOL/USD,4h,15,['RSI 45–60 y subiendo'],125.77,116.42495000000001,127.75169538098159,129.7333907619632,0.2120582962083236,0.4241165924166487,AVOID,9.16964663696666
crypto,ETH/USD,1h,15,['Precio > EMA200'],2997.05,2950.6327,3006.6241288463184,3016.198257692637,0.20626208000719998,0.4125241600144097,AVOID,9.165009664005764
crypto,ETH/USD,4h,15,['RSI 45–60 y subiendo'],2997.05,2764.87615,3036.5390035978635,3076.028007195727,0.17008376954537852,0.34016753909075703,AVOID,9.136067015636304
crypto,BTC/USD,1h,15,['Precio > EMA200'],88574.41,86741.46325,88820.81013368854,89067.21026737709,0.13442841898628036,0.2688568379725607,AVOID,9.107542735189025
