market,symbol,tf,score,reasons,entry,stop,tp1,tp2,rr_tp1,rr_tp2,signal,rank_score
crypto,BNB/USD,1h,53,"['Precio > EMA200', 'EMA50 > EMA200', 'MACD acelerando', 'Volumen fuerte']",884.45,860.0083500000001,887.1816247470697,889.9132494941393,0.11176106142873526,0.22352212285747053,WATCH,34.88940884914298
crypto,BTC/USD,1h,30,"['Precio > EMA200', 'EMA50 > EMA200']",91068.35,88255.97265,91341.68141342461,91615.01282684921,0.09718874084397032,0.19437748168794064,WATCH,21.077750992675178
crypto,ETH/USD,1h,30,"['Precio > EMA200', 'EMA50 > EMA200']",3135.72,3003.93485,3146.4561170962306,3157.192234192462,0.08146682001902986,0.16293364003806315,WATCH,21.065173456015224
crypto,SOL/USD,1h,30,"['Precio > EMA200', 'EMA50 > EMA200']",133.97,126.7232,134.55091282572351,135.13182565144706,0.08016128853059508,0.16032257706119407,WATCH,21.06412903082448
crypto,BNB/USD,4h,23,"['Precio > EMA200', 'MACD acelerando']",884.45,843.2227,891.0080751441199,897.5661502882397,0.15907117720830152,0.31814235441660305,AVOID,13.92725694176664
crypto,BTC/USD,4h,23,"['Precio > EMA200', 'MACD acelerando']",91068.35,86390.82525,91763.03682617852,92457.72365235705,0.1485159060202752,0.2970318120405535,AVOID,13.91881272481622
crypto,SOL/USD,4h,23,"['Precio > EMA200', 'MACD acelerando']",133.97,121.77805,135.46970996620522,136.96941993241046,0.12300821166468168,0.24601642332936569,AVOID,13.898406569331746
crypto,ETH/USD,4h,15,['Precio > EMA200'],3135.72,2899.81805,3163.8957803933886,3192.071560786777,0.1194385226293754,0.23887704525874887,AVOID,9.095550818103499
