market,symbol,tf,score,reasons,entry,stop,tp1,tp2,rr_tp1,rr_tp2,signal,rank_score
crypto,ETH/USD,4h,73,"['Precio > EMA200', 'EMA50 > EMA200', 'MACD acelerando', 'Volumen fuerte', 'Breakout']",3220.03,2926.02635,3255.9917077680498,3291.9534155360993,0.12231721534086244,0.24463443068172488,BUY,58.89785377227269
crypto,SOL/USD,4h,38,"['Precio > EMA200', 'MACD acelerando', 'Volumen fuerte']",137.85,122.7432,139.69732328244504,141.5446465648901,0.12228422183685805,0.2445684436737161,WATCH,25.897827377469486
crypto,ETH/USD,1h,30,"['Precio > EMA200', 'EMA50 > EMA200']",3220.03,3099.35535,3242.096221866526,3264.1624437330515,0.18285714411871587,0.36571428823743174,WATCH,21.146285715294972
crypto,SOL/USD,1h,30,"['Precio > EMA200', 'EMA50 > EMA200']",137.85,132.2355,138.87031609683027,139.8906321936605,0.18172875533534108,0.3634575106706771,WATCH,21.14538300426827
crypto,BTC/USD,1h,30,"['Precio > EMA200', 'EMA50 > EMA200']",93705.0,90288.05119999999,94153.46595113409,94601.93190226819,0.13124748931973615,0.2624949786394766,WATCH,21.10499799145579
crypto,BNB/USD,1h,30,"['Precio > EMA200', 'EMA50 > EMA200']",909.3,874.77415,913.1729603906927,917.0459207813853,0.11217567100281957,0.22435134200563914,WATCH,21.089740536802257
crypto,BTC/USD,4h,30,"['Precio > EMA200', 'EMA50 > EMA200']",93705.0,86554.09479999999,94505.25518245676,95305.51036491354,0.11190963382604521,0.22381926765209248,WATCH,21.08952770706084
crypto,BNB/USD,4h,15,['Precio > EMA200'],909.3,845.99875,916.9912127861987,924.6824255723974,0.12150175211704,0.24300350423407818,AVOID,9.097201401693631
