symbol,tf,growth_score,growth_reasons,near_52w_high,rel_volume,breakout
NVDA,1h,67,"['Precio > EMA200', 'Fuerza relativa', 'Volumen fuerte', 'Breakout']",0.8907894996198931,2.10184546520918,True
TSLA,1h,55,"['Precio > EMA200', 'EMA50 > EMA200', 'Muy cerca 52W High']",0.9726955717148392,0.6526276575369224,False
META,1h,55,"['Precio > EMA200', 'EMA50 > EMA200', 'Muy cerca 52W High']",0.9816169377761795,0.46958238580304934,False
PLTR,1h,48,"['Precio > EMA200', 'EMA50 > EMA200', 'Cerca 52W High']",0.9319551082310767,0.42630146629778676,False
AMZN,1h,27,"['Precio > EMA200', 'Fuerza relativa']",0.8947795588876544,0.554402654185293,False
AAPL,1h,18,['Cerca 52W High'],0.9407505753305534,0.5270144774046057,False
MSFT,1h,18,['Cerca 52W High'],0.9195762200890898,0.45379520286414843,False
AMD,1h,0,[],0.8168797720267164,0.504125906030446,False
COIN,1h,0,[],0.6645821713670972,0.725651483898757,False
