market,symbol,tf,score,reasons,entry,stop,tp1,tp2,rr_tp1,rr_tp2,signal,rank_score
crypto,BNB/USD,1h,38,"['Precio > EMA200', 'RSI 45–60 y subiendo', 'MACD acelerando']",859.6,841.77,863.1692771508298,866.7385543016594,0.20018379982219517,0.400367599644384,WATCH,25.960147039857755
crypto,BTC/USD,1h,38,"['Precio > EMA200', 'EMA50 > EMA200', 'MACD acelerando']",89043.25,87202.50645,89396.76977945789,89750.28955891579,0.192052705798092,0.3841054115961919,WATCH,25.953642164638477
crypto,SOL/USD,1h,23,"['RSI 45–60 y subiendo', 'MACD acelerando']",126.39,123.04169999999999,127.18904383712376,127.98808767424752,0.23864165012805288,0.47728330025610577,AVOID,13.990913320102441
crypto,BNB/USD,4h,23,"['RSI 45–60 y subiendo', 'MACD acelerando']",859.6,813.50205,868.7486759576275,877.897351915255,0.19846166603129786,0.3969233320625957,AVOID,13.958769332825037
crypto,SOL/USD,4h,23,"['RSI 45–60 y subiendo', 'MACD acelerando']",126.39,116.42495000000001,128.36522900259342,130.34045800518683,0.1982156640050401,0.39643132801007874,AVOID,13.95857253120403
crypto,BTC/USD,4h,23,"['RSI 45–60 y subiendo', 'MACD acelerando']",89043.25,84228.74,89941.19484172654,90839.13968345306,0.18650804375243557,0.3730160875048681,AVOID,13.949206435001946
crypto,ETH/USD,1h,15,['Precio > EMA200'],3027.71,2929.5188,3046.126261484544,3064.5425229690877,0.187555111705978,0.3751102234119514,AVOID,9.15004408936478
crypto,ETH/USD,4h,8,['MACD acelerando'],3027.71,2764.87615,3068.9406488235213,3110.1712976470426,0.1568696300857796,0.3137392601715592,AVOID,4.925495704068624
