market,symbol,tf,score,reasons,entry,stop,tp1,tp2,rr_tp1,rr_tp2,signal,rank_score
crypto,BNB/USD,1h,45,"['Precio > EMA200', 'EMA50 > EMA200', 'RSI 45–60 y subiendo']",874.16,854.23735,877.4635957592615,880.7671915185231,0.165821101071469,0.3316422021429437,WATCH,30.132656880857176
crypto,SOL/USD,1h,45,"['Precio > EMA200', 'EMA50 > EMA200', 'RSI 45–60 y subiendo']",130.83,124.92224999999999,131.57761846311382,132.3252369262276,0.1265487644388823,0.2530975288777598,WATCH,30.101239011551105
crypto,BTC/USD,4h,30,"['Precio > EMA200', 'RSI 45–60 y subiendo']",89708.08,86390.82525,90462.06156350227,91216.04312700452,0.22729082338408474,0.4545816467681651,WATCH,21.181832658707265
crypto,BTC/USD,1h,30,"['Precio > EMA200', 'EMA50 > EMA200']",89708.08,86793.85,90031.71607133433,90355.35214266866,0.11105371619066838,0.22210743238133676,WATCH,21.088842972952534
crypto,ETH/USD,1h,30,"['Precio > EMA200', 'EMA50 > EMA200']",3091.6,2960.33395,3103.541395519234,3115.482791038468,0.09097093665295801,0.18194187330591602,WATCH,21.072776749322365
crypto,BNB/USD,4h,15,['Precio > EMA200'],874.16,835.55125,881.3058380466648,888.4516760933295,0.18508338256651244,0.37016676513302194,AVOID,9.148066706053209
crypto,SOL/USD,4h,15,['Precio > EMA200'],130.83,121.77805,132.4489632287394,134.0679264574788,0.17885242723826042,0.357704854476524,AVOID,9.14308194179061
crypto,ETH/USD,4h,15,['Precio > EMA200'],3091.6,2899.81805,3122.143279307682,3152.686558615364,0.15926044816877727,0.31852089633755454,AVOID,9.127408358535021
