market,symbol,tf,score,reasons,entry,stop,tp1,tp2,rr_tp1,rr_tp2,signal,rank_score
crypto,SOL/USD,1h,23,"['RSI bajo', 'Volumen fuerte']",123.66,122.83232596926364,124.21178268715758,124.76356537431515,0.6666666666666781,1.333333333333339,AVOID,14.333333333333334
crypto,ETH/USD,1h,15,['Volumen fuerte'],2955.8,2937.756394578869,2967.8290702807544,2979.858140561508,0.6666666666666666,1.3333333333333082,AVOID,9.533333333333323
crypto,BTC/USD,1h,15,['Volumen fuerte'],87855.24,87350.42314999999,88139.40436818772,88423.56873637543,0.5629058700946845,1.1258117401893402,AVOID,9.450324696075736
crypto,BNB/USD,1h,15,['Volumen fuerte'],848.39,842.2973499999999,851.672444242947,854.9548884858941,0.5387547689342046,1.0775095378684278,AVOID,9.43100381514737
crypto,SOL/USD,4h,0,[],123.66,116.42495000000001,125.64585999662576,127.63171999325152,0.27447771565169093,0.5489554313033819,AVOID,0.21958217252135276
crypto,BNB/USD,4h,0,[],848.39,813.50205,857.4611036984375,866.5322073968749,0.26000678453269643,0.5200135690653929,AVOID,0.20800542762615715
crypto,BTC/USD,4h,0,[],87855.24,84228.74,88779.76987577148,89704.29975154297,0.25493723308189087,0.5098744661637857,AVOID,0.20394978646551432
crypto,ETH/USD,4h,0,[],2955.8,2764.87615,2996.3183604837304,3036.8367209674607,0.2122226242752292,0.4244452485504584,AVOID,0.16977809942018338
