market,symbol,tf,score,reasons,entry,stop,tp1,tp2,rr_tp1,rr_tp2,signal,rank_score
crypto,BTC/USD,1h,15,['MACD cruce alcista'],86580.05,84811.95925,87216.92119820074,87853.79239640148,0.36020277703547515,0.7204055540709503,AVOID,9.28816222162838
crypto,BTC/USD,4h,8,['MACD acelerando'],86580.05,84758.82869906262,87794.19753395826,89008.34506791651,0.6666666666666666,1.3333333333333333,AVOID,5.333333333333333
crypto,ETH/USD,4h,8,['RSI bajo'],2831.68,2744.740112953812,2889.6399246974584,2947.599849394917,0.6666666666666666,1.3333333333333333,AVOID,5.333333333333333
crypto,BNB/USD,4h,8,['RSI bajo'],836.67,817.3272709022112,849.5651527318591,862.4603054637182,0.6666666666666686,1.3333333333333315,AVOID,5.333333333333332
crypto,BNB/USD,1h,0,[],836.67,827.0941580885334,843.0538946076443,849.4377892152888,0.6666666666666666,1.3333333333333452,AVOID,0.5333333333333381
crypto,SOL/USD,4h,0,[],123.62,119.51476667102774,126.35682221931485,129.0936444386297,0.6666666666666679,1.3333333333333357,AVOID,0.5333333333333343
crypto,ETH/USD,1h,0,[],2831.68,2786.0,2856.536446573097,2881.3928931461937,0.5441428759434552,1.0882857518869105,AVOID,0.4353143007547642
crypto,SOL/USD,1h,0,[],123.62,120.8925,124.8894728587397,126.15894571747937,0.4654345953216083,0.9308691906432114,AVOID,0.3723476762572846
