symbol,tf,growth_score,growth_reasons,near_52w_high,rel_volume,breakout
TSLA,1h,55,"['Precio > EMA200', 'EMA50 > EMA200', 'Muy cerca 52W High']",0.9948553893729241,0.2754006359143821,False
PLTR,1h,48,"['Precio > EMA200', 'EMA50 > EMA200', 'Cerca 52W High']",0.901522827335815,0.5330547751387056,False
META,1h,42,"['Precio > EMA200', 'EMA50 > EMA200', 'Fuerza relativa']",0.8613655286591184,0.3874710032770644,False
AAPL,1h,33,"['EMA50 > EMA200', 'Cerca 52W High']",0.948269313490333,0.332810768533798,False
AMZN,1h,12,['Fuerza relativa'],0.8603793101210141,0.35240531600788505,False
MSFT,1h,12,['Fuerza relativa'],0.8590804515093889,0.31505026373979367,False
NVDA,1h,0,[],0.8359017428135915,0.33864363990440655,False
AMD,1h,0,[],0.7814141043187852,0.3238950334515932,False
COIN,1h,0,[],0.6795981343927914,0.23988666407951556,False
