market,symbol,tf,score,reasons,entry,stop,tp1,tp2,rr_tp1,rr_tp2,signal,rank_score
crypto,ETH/USD,4h,15,['RSI 45–60 y subiendo'],2978.84,2764.87615,3028.1924224023005,3077.5448448046004,0.23065776018846335,0.4613155203769245,AVOID,9.18452620815077
crypto,SOL/USD,1h,15,['RSI 45–60 y subiendo'],126.07,117.24085,126.6455151664585,127.22103033291701,0.06518353028983555,0.1303670605796727,AVOID,9.052146824231869
crypto,BTC/USD,4h,0,[],88022.11,84228.74,89172.6232525975,90323.13650519501,0.30329581680603457,0.6065916336120691,AVOID,0.24263665344482765
crypto,BNB/USD,4h,0,[],852.11,813.50205,862.6015721395063,873.0931442790126,0.2717464185357235,0.543492837071447,AVOID,0.2173971348285788
crypto,SOL/USD,4h,0,[],126.07,116.42495000000001,128.49805454031772,130.92610908063543,0.25174100085719986,0.5034820017143968,AVOID,0.20139280068575874
crypto,BTC/USD,1h,0,[],88022.11,84798.875,88331.78693125727,88641.46386251455,0.09607643602072834,0.19215287204145667,AVOID,0.07686114881658268
crypto,BNB/USD,1h,0,[],852.11,818.089,855.0808376004621,858.0516752009243,0.08732364129396909,0.17464728258793819,AVOID,0.06985891303517527
crypto,ETH/USD,1h,0,[],2978.84,2804.43735,2990.1210698892787,3001.4021397785573,0.06468405089761291,0.12936810179522581,AVOID,0.05174724071809033
