market,symbol,tf,score,reasons,entry,stop,tp1,tp2,rr_tp1,rr_tp2,signal,rank_score
crypto,BNB/USD,1h,23,"['RSI 45–60 y subiendo', 'MACD acelerando']",861.02,838.29745,866.3148053543667,871.6096107087335,0.23301985711844703,0.46603971423689405,AVOID,13.986415885694756
crypto,BNB/USD,4h,15,['Volumen fuerte'],861.02,838.29745,873.1461082054744,885.2722164109488,0.5336596555172934,1.0673193110345818,AVOID,9.426927724413833
crypto,ETH/USD,4h,8,['RSI bajo'],2938.71,2846.9308267661986,2999.896115489201,3061.082230978402,0.666666666666665,1.333333333333335,AVOID,5.333333333333334
crypto,BTC/USD,4h,8,['RSI bajo'],86194.94,84566.36757446085,87280.65495035944,88366.36990071887,0.6666666666666696,1.3333333333333304,AVOID,5.333333333333332
crypto,BTC/USD,1h,8,['MACD acelerando'],86194.94,84942.14505,86680.66645817563,87166.39291635125,0.3877142529794148,0.775428505958818,AVOID,5.110171402383527
crypto,SOL/USD,1h,8,['MACD acelerando'],126.56,123.25065000000001,127.74158966014105,128.9231793202821,0.3570458428818483,0.7140916857636966,AVOID,5.085636674305478
crypto,SOL/USD,4h,0,[],126.56,122.52697029583844,129.24868646944105,131.93737293888208,0.666666666666669,1.333333333333331,AVOID,0.5333333333333324
crypto,ETH/USD,1h,0,[],2938.71,2868.89345,2966.251428225454,2993.792856450908,0.3944828013623443,0.7889656027246821,AVOID,0.3155862410898729
