symbol,tf,growth_score,growth_reasons,near_52w_high,rel_volume,breakout
TSLA,1h,75,"['Precio > EMA200', 'EMA50 > EMA200', 'Muy cerca 52W High', 'Breakout']",1.0,0.8351253888240944,True
AAPL,1h,55,"['Precio > EMA200', 'EMA50 > EMA200', 'Muy cerca 52W High']",0.9681578171571797,0.560756670946696,False
PLTR,1h,48,"['Precio > EMA200', 'EMA50 > EMA200', 'Cerca 52W High']",0.9017396755365595,0.2905047452763932,False
META,1h,15,['EMA50 > EMA200'],0.8474429482048395,0.38524526311960033,False
AMZN,1h,12,['Fuerza relativa'],0.8739365609664136,0.49298476236432026,False
MSFT,1h,12,['Fuerza relativa'],0.8652929824337081,0.39421189500249215,False
NVDA,1h,0,[],0.8376459442875226,0.4062837946384969,False
AMD,1h,0,[],0.8001725726986632,0.2687917804745973,False
COIN,1h,0,[],0.7118285396956631,0.3052921116692683,False
