symbol,tf,growth_score,growth_reasons,near_52w_high,rel_volume,breakout
NVDA,1h,55,"['Precio > EMA200', 'EMA50 > EMA200', 'Muy cerca 52W High']",0.9654081694933833,0.26810713022019605,False
AMZN,1h,55,"['Precio > EMA200', 'EMA50 > EMA200', 'Muy cerca 52W High']",0.9886306212432128,0.28996063955893286,False
META,1h,40,"['EMA50 > EMA200', 'Muy cerca 52W High']",0.9620073278984257,0.28319239728281814,False
PLTR,1h,33,"['Precio > EMA200', 'Cerca 52W High']",0.9250804063281621,0.481268993655611,False
AAPL,1h,18,['Cerca 52W High'],0.9066907104999253,0.36479087065662497,False
MSFT,1h,18,['Cerca 52W High'],0.9448588073195594,0.24659870485726432,False
TSLA,1h,12,['Fuerza relativa'],0.876348198207513,0.28558956938602187,False
AMD,1h,0,[],0.8089176305614343,0.28046099229691485,False
COIN,1h,0,[],0.8032744501784667,0.19580643880765083,False
