market,symbol,tf,score,reasons,entry,stop,tp1,tp2,rr_tp1,rr_tp2,signal,rank_score
stock,TSLA,1h,68,"['Precio > EMA200', 'EMA50 > EMA200', 'RSI 45–60 y subiendo', 'MACD acelerando', 'Volumen fuerte']",455.8937072753906,433.1234878540039,460.4993262933307,465.10494531127074,0.20226502576493696,0.4045300515298739,BUY,55.961812020611944
stock,META,1h,53,"['Precio > EMA200', 'EMA50 > EMA200', 'RSI 45–60 y subiendo', 'MACD acelerando']",662.7244262695312,640.2825,667.0045471335885,671.2846679976457,0.19071985232694877,0.38143970465389243,WATCH,34.952575881861556
stock,AMZN,1h,38,"['Precio > EMA200', 'EMA50 > EMA200', 'MACD acelerando']",233.08999633789062,223.57649696350097,234.85343793083368,236.6168795237767,0.1853620338369117,0.37072406767382043,WATCH,25.948289627069528
stock,NVDA,1h,30,"['Precio > EMA200', 'EMA50 > EMA200']",187.07000732421875,184.50077315357137,188.78283010465032,190.4956528850819,0.6666666666666593,1.3333333333333297,WATCH,21.53333333333333
stock,AMD,1h,30,"['Precio > EMA200', 'EMA50 > EMA200']",221.25999450683594,208.19380546569823,223.96945106449917,226.6789076221624,0.20736394897798843,0.41472789795597687,WATCH,21.16589115918239
stock,COIN,1h,28,"['MACD acelerando', 'Breakout']",257.5299987792969,224.35259574890136,261.01778746507927,264.5055761508616,0.10512542776741898,0.21025085553483627,AVOID,16.884100342213934
stock,MSFT,1h,23,"['RSI bajo', 'MACD cruce alcista']",475.0199890136719,467.1624597167969,477.2237718006416,479.4275545876114,0.28046765130690515,0.5609353026138175,AVOID,14.024374121045525
stock,AAPL,1h,8,['RSI bajo'],267.07000732421875,264.98007235741755,268.4632973020862,269.85658727995366,0.6666666666666485,1.3333333333333244,AVOID,5.3333333333333295
stock,PLTR,1h,8,['MACD acelerando'],174.40280151367188,165.51825607299804,176.661828682156,178.92085585064012,0.2542647998784721,0.5085295997569442,AVOID,5.003411839902777
