market,symbol,tf,score,reasons,entry,stop,tp1,tp2,rr_tp1,rr_tp2,signal,rank_score
crypto,SOL/USD,1h,45,"['Precio > EMA200', 'EMA50 > EMA200', 'RSI 45–60 y subiendo']",137.74,135.51899999999998,138.91224745254422,140.0844949050884,0.5278016445493902,1.0556032890987674,WATCH,30.422241315639507
crypto,ETH/USD,1h,45,"['Precio > EMA200', 'EMA50 > EMA200', 'RSI 45–60 y subiendo']",3220.53,3163.3836,3241.777455004338,3263.024910008676,0.37180741051646254,0.7436148210329251,WATCH,30.29744592841317
crypto,SOL/USD,4h,45,"['Precio > EMA200', 'EMA50 > EMA200', 'Volumen fuerte']",137.74,122.7432,140.14640099804765,142.55280199609533,0.160460964875683,0.3209219297513679,WATCH,30.128368771900547
crypto,BTC/USD,1h,30,"['Precio > EMA200', 'EMA50 > EMA200']",92012.96,90718.57775,92496.35291672839,92979.74583345675,0.37345453147891594,0.7469090629578206,WATCH,21.298763625183128
crypto,BNB/USD,1h,30,"['Precio > EMA200', 'EMA50 > EMA200']",909.29,885.8285999999999,914.1860970508831,919.082194101766,0.20868733540552117,0.41737467081103746,WATCH,21.166949868324416
crypto,BTC/USD,4h,30,"['Precio > EMA200', 'EMA50 > EMA200']",92012.96,86554.09479999999,92982.67659354932,93952.39318709863,0.177640692345601,0.355281384691202,WATCH,21.14211255387648
crypto,BNB/USD,4h,30,"['Precio > EMA200', 'EMA50 > EMA200']",909.29,849.32205,919.2411052816801,929.1922105633604,0.16594039452207657,0.331880789044155,WATCH,21.13275231561766
crypto,ETH/USD,4h,30,"['Precio > EMA200', 'EMA50 > EMA200']",3220.53,2936.63305,3264.359845130735,3308.1896902614694,0.15438646005437737,0.30877292010875473,WATCH,21.1235091680435
