market,symbol,tf,score,reasons,entry,stop,tp1,tp2,rr_tp1,rr_tp2,signal,rank_score
crypto,ETH/USD,1h,30,"['Precio > EMA200', 'EMA50 > EMA200']",3053.32,2929.5188,3071.257722312132,3089.1954446242644,0.14489134444683763,0.2897826888936789,WATCH,21.115913075557472
crypto,BTC/USD,1h,30,"['Precio > EMA200', 'EMA50 > EMA200']",90123.45,87202.50645,90501.02444359985,90878.59888719968,0.12926454658798522,0.25852909317596545,WATCH,21.103411637270387
crypto,SOL/USD,4h,23,"['RSI 45–60 y subiendo', 'MACD acelerando']",127.64,116.42495000000001,129.56593725223615,131.49187450447232,0.171727923837714,0.3434558476754293,AVOID,13.93738233907017
crypto,SOL/USD,1h,23,"['Precio > EMA200', 'MACD acelerando']",127.64,123.04169999999999,128.4169143119649,129.1938286239298,0.16895685622183979,0.3379137124436826,AVOID,13.935165484977471
crypto,BNB/USD,4h,23,"['RSI 45–60 y subiendo', 'MACD acelerando']",866.72,813.50205,875.674317534893,884.6286350697861,0.16825746829580993,0.336514936591622,AVOID,13.934605974636648
crypto,BNB/USD,1h,15,['Precio > EMA200'],866.72,841.77,870.5622196716809,874.4044393433616,0.15399678042808881,0.3079935608561731,AVOID,9.12319742434247
crypto,BTC/USD,4h,8,['MACD acelerando'],90123.45,84228.74,91037.89575638664,91952.3415127733,0.1551298972106595,0.31025979442132146,AVOID,4.924103917768528
crypto,ETH/USD,4h,8,['MACD acelerando'],3053.32,2764.87615,3093.4931614855873,3133.6663229711744,0.13927550019037363,0.27855100038074726,AVOID,4.9114204001522985
