market,symbol,tf,score,reasons,entry,stop,tp1,tp2,rr_tp1,rr_tp2,signal,rank_score
crypto,BNB/USD,1h,30,"['RSI 45–60 y subiendo', 'MACD cruce alcista']",832.08,813.50205,838.585334021628,845.0906680432558,0.3501642550242607,0.7003285100485153,WATCH,21.280131404019407
crypto,ETH/USD,1h,30,"['RSI 45–60 y subiendo', 'MACD cruce alcista']",2875.12,2764.87615,2906.6566743196995,2938.193348639399,0.28606288985462375,0.5721257797092475,WATCH,21.2288503118837
crypto,BTC/USD,4h,15,['MACD cruce alcista'],86292.09,84197.44995888375,87688.5166940775,89084.94338815499,0.6666666666666666,1.3333333333333333,AVOID,9.533333333333333
crypto,ETH/USD,4h,15,['MACD cruce alcista'],2875.12,2764.87615,2941.1532848251227,3007.186569650245,0.5989747711561496,1.1979495423122952,AVOID,9.479179816924917
crypto,SOL/USD,1h,15,['RSI 45–60 y subiendo'],120.39,116.42495000000001,122.0210775658328,123.65215513166558,0.41136368162641096,0.8227273632528183,AVOID,9.329090945301127
crypto,BTC/USD,1h,15,['RSI 45–60 y subiendo'],86292.09,84228.74,87016.89842642799,87741.70685285596,0.3512774984505744,0.7025549969011418,AVOID,9.281021998760457
crypto,SOL/USD,4h,0,[],120.39,115.4591001312188,123.67726657918746,126.96453315837492,0.6666666666666657,1.3333333333333315,AVOID,0.5333333333333327
crypto,BNB/USD,4h,0,[],832.08,812.3410992903456,845.2392671397697,858.3985342795393,0.6666666666666686,1.3333333333333315,AVOID,0.5333333333333327
