symbol,tf,growth_score,growth_reasons,near_52w_high,rel_volume,breakout
TSLA,1h,55,"['Precio > EMA200', 'EMA50 > EMA200', 'Muy cerca 52W High']",0.9918817518859985,0.32536730431310656,False
PLTR,1h,42,"['Precio > EMA200', 'EMA50 > EMA200', 'Fuerza relativa']",0.8916799485270462,0.3858949863840178,False
META,1h,42,"['Precio > EMA200', 'EMA50 > EMA200', 'Fuerza relativa']",0.8573479200347065,0.39253680334306307,False
AAPL,1h,33,"['EMA50 > EMA200', 'Cerca 52W High']",0.9479228039841086,0.27487168129670353,False
AMZN,1h,12,['Fuerza relativa'],0.8618333204504942,0.2742608241535542,False
MSFT,1h,12,['Fuerza relativa'],0.8565611473710526,0.22005272883335983,False
NVDA,1h,0,[],0.8317078209763976,0.35489598939097966,False
AMD,1h,0,[],0.7749370006241092,0.27278459693401613,False
COIN,1h,0,[],0.6767849982862735,1.4075086825331906,False
