market,symbol,tf,score,reasons,entry,stop,tp1,tp2,rr_tp1,rr_tp2,signal,rank_score
crypto,ETH/USD,1h,45,"['Precio > EMA200', 'EMA50 > EMA200', 'RSI 45–60 y subiendo']",3178.03,3099.35535,3196.203342590488,3214.376685180976,0.2309936248904517,0.46198724978090916,WATCH,30.184794899912365
crypto,SOL/USD,1h,30,"['Precio > EMA200', 'EMA50 > EMA200']",134.97,132.2355,135.83531598196774,136.7006319639355,0.3164439502533336,0.6328879005066776,WATCH,21.25315516020267
crypto,BNB/USD,1h,30,"['Precio > EMA200', 'EMA50 > EMA200']",903.05,872.615,906.9479812058343,910.8459624116684,0.1280756105087664,0.2561512210175291,WATCH,21.10246048840701
crypto,ETH/USD,4h,30,"['Precio > EMA200', 'EMA50 > EMA200']",3178.03,2909.38,3211.0470589150427,3244.0641178300853,0.12289990290356417,0.24579980580712835,WATCH,21.09831992232285
crypto,BTC/USD,1h,30,"['Precio > EMA200', 'EMA50 > EMA200']",93824.52,90249.82329999999,94244.818595994,94665.11719198801,0.11757601588800418,0.23515203177601243,WATCH,21.094060812710406
crypto,SOL/USD,4h,15,['Precio > EMA200'],134.97,121.8875,136.61926023823753,138.26852047647503,0.12606613707147193,0.2521322741429417,AVOID,9.100852909657176
crypto,BNB/USD,4h,15,['Precio > EMA200'],903.05,844.7052500000001,910.2768005829392,917.5036011658785,0.12386376808434876,0.24772753616869753,AVOID,9.09909101446748
crypto,BTC/USD,4h,15,['Precio > EMA200'],93824.52,86390.82525,94570.64091077763,95316.76182155524,0.10037013031475661,0.20074026062951128,AVOID,9.080296104251804
