market,symbol,tf,score,reasons,entry,stop,tp1,tp2,rr_tp1,rr_tp2,signal,rank_score
crypto,BNB/USD,4h,38,"['RSI 45–60 y subiendo', 'MACD acelerando', 'Volumen fuerte']",851.35,813.50205,863.9523132156718,876.5546264313435,0.33297214817901016,0.6659442963580203,WATCH,26.066377718543208
crypto,SOL/USD,1h,30,"['RSI 45–60 y subiendo', 'Volumen fuerte']",125.87,116.42495000000001,127.16146068289177,128.45292136578354,0.1367341287649899,0.2734682575299798,WATCH,21.109387303011992
crypto,SOL/USD,4h,23,"['RSI 45–60 y subiendo', 'MACD acelerando']",125.87,116.42495000000001,129.0123969193536,132.15479383870718,0.3327030475596835,0.665406095119367,AVOID,14.066162438047746
crypto,ETH/USD,4h,23,"['RSI 45–60 y subiendo', 'MACD acelerando']",2981.55,2764.87615,3046.891002894004,3112.2320057880074,0.3015638615089168,0.6031277230178315,AVOID,14.041251089207131
crypto,BTC/USD,1h,15,['RSI 45–60 y subiendo'],87652.41,84228.74,88372.72707814728,89093.04415629455,0.2103932558182515,0.420786511636503,AVOID,9.1683146046546
crypto,BNB/USD,1h,8,['MACD acelerando'],851.35,813.50205,856.5802926642657,861.8105853285315,0.1381922313960381,0.2763844627920792,AVOID,4.910553785116831
crypto,ETH/USD,1h,8,['MACD acelerando'],2981.55,2764.87615,3010.1960425427137,3038.8420850854277,0.13220812083559466,0.26441624167119143,AVOID,4.905766496668476
crypto,BTC/USD,4h,0,[],87652.41,84228.74,89148.58530741221,90644.76061482442,0.43700920573893237,0.8740184114778647,AVOID,0.34960736459114594
