market,symbol,tf,score,reasons,entry,stop,tp1,tp2,rr_tp1,rr_tp2,signal,rank_score
crypto,BNB/USD,1h,53,"['Precio > EMA200', 'EMA50 > EMA200', 'RSI 45–60 y subiendo', 'MACD acelerando']",890.28,867.0628999999999,893.5199681110173,896.7599362220345,0.1395509392222682,0.2791018784445315,WATCH,34.91164075137781
crypto,SOL/USD,1h,43,"['Precio > EMA200', 'MACD acelerando', 'Breakout']",135.34,127.6386,136.15961139109103,136.97922278218203,0.10642368804256748,0.21284737608513127,WATCH,28.885138950434055
crypto,BNB/USD,4h,30,"['RSI 45–60 y subiendo', 'MACD cruce alcista']",890.28,856.2472499999999,900.0583398427952,909.8366796855905,0.2873214724873909,0.5746429449747819,WATCH,21.229857177989913
crypto,ETH/USD,1h,30,"['Precio > EMA200', 'RSI 45–60 y subiendo']",3138.19,3022.14335,3157.5306153224624,3176.8712306449247,0.16666241828146086,0.3333248365629217,WATCH,21.13332993462517
crypto,SOL/USD,4h,23,"['RSI 45–60 y subiendo', 'MACD acelerando']",135.34,127.6386,137.5763426944351,139.81268538887025,0.2903813195568477,0.5807626391136992,AVOID,14.032305055645478
crypto,BTC/USD,4h,15,['MACD cruce alcista'],89712.14,87336.01555,90590.87284329308,91469.60568658616,0.3698176849672498,0.7396353699344996,AVOID,9.2958541479738
crypto,BTC/USD,1h,15,['RSI 45–60 y subiendo'],89712.14,87336.01555,90015.36617628472,90318.59235256945,0.12761376041760727,0.2552275208352207,AVOID,9.102091008334089
crypto,ETH/USD,4h,8,['MACD acelerando'],3138.19,3022.14335,3187.391989243234,3236.5939784864677,0.42398457209435986,0.8479691441887157,AVOID,5.139187657675486
