symbol,tf,growth_score,growth_reasons,near_52w_high,rel_volume,breakout
META,1h,55,"['Precio > EMA200', 'EMA50 > EMA200', 'Muy cerca 52W High']",0.9768659709645802,0.5029500200862052,False
TSLA,1h,48,"['Precio > EMA200', 'EMA50 > EMA200', 'Cerca 52W High']",0.9136764657118661,0.5517689847542925,False
NVDA,1h,48,"['Precio > EMA200', 'EMA50 > EMA200', 'Cerca 52W High']",0.9376812715728626,0.9019784842057835,False
AMZN,1h,48,"['Precio > EMA200', 'EMA50 > EMA200', 'Cerca 52W High']",0.9296441643251614,0.4723110206854858,False
AMD,1h,30,"['Precio > EMA200', 'EMA50 > EMA200']",0.8385639749216417,0.45046736851918034,False
AAPL,1h,18,['Cerca 52W High'],0.9247078302054779,0.8437867023453354,False
MSFT,1h,18,['Cerca 52W High'],0.9223563873083008,0.7411775178187601,False
COIN,1h,15,['Precio > EMA200'],0.7985803805857453,0.8844124080146731,False
PLTR,1h,12,['Fuerza relativa'],0.8803046693980267,0.4902675360411372,False
